5s,1m,5m,20m
8.23,4.92,1.68,1.38
8.84,5.16,1.89,1.57
9.44,5.39,2.10,1.76
10.05,5.63,2.31,1.95
10.65,5.86,2.53,2.14
11.26,06.09,2.74,2.33
11.86,6.33,2.95,2.52
12.47,6.57,3.16,2.71
13.07,6.80,3.37,2.90
13.68,07.04,3.58,03.09
14.28,7.27,3.79,3.28
14.89,7.50,04.01,3.47
15.49,7.74,4.22,3.66
16.10,7.97,4.43,3.85
16.70,8.21,4.64,04.04
17.31,8.45,4.85,4.24
17.92,8.68,05.06,4.43
18.52,8.91,5.27,4.62
19.13,9.15,5.49,4.81
19.73,9.38,5.70,5.00
20.34,9.62,5.91,5.19
20.94,9.86,6.12,5.38
21.55,10.09,6.33,5.57
22.15,10.32,6.54,5.76
22.76,10.56,6.75,5.95
23.36,10.79,6.97,6.14
23.97,11.03,7.18,6.33
24.57,11.27,7.39,6.52
25.18,11.50,7.60,6.71